rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,quantum_coverage,quantum_exposure,quantum_holdings,holdings_as_of,optical_coverage,optical_exposure,optical_holdings,optical_as_of,memory_coverage,memory_exposure,memory_holdings,memory_as_of,robotics_coverage,robotics_exposure,robotics_holdings,robotics_as_of,status
1,能源,統一新亞洲科技能源基金,,,XLE,152.62,-25.74,178.36,53.84,0.790,,,4.006,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
2,能源,中國信託臺灣綠能及電動車ETF基金(本基金非屬環境、社會及治理相關主題基金),,,XLE,81.56,-25.74,107.30,39.60,0.900,,,2.465,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,能源,富蘭克林華美全球潔淨能源ETF基金(本基金非屬環境、社會及治理相關主題基金),,,XLE,59.06,-25.74,84.80,2.90,0.590,,,1.586,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,能源,安聯全球綠能趨勢基金-A累積型(台幣),,,XLE,38.13,-25.74,63.87,8.39,0.790,,,1.262,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
5,能源,德銀遠東DWS全球原物料能源基金,,,XLE,40.96,-25.74,66.70,1.54,0.580,,,1.208,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
