rank,category_name,name,isin,currency,distribution,moneydj_id,twelve_data_symbol,benchmark,return_1y,distribution_yield_12m,total_return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,quantum_coverage,quantum_exposure,quantum_holdings,holdings_as_of,optical_coverage,optical_exposure,optical_holdings,optical_as_of,memory_coverage,memory_exposure,memory_holdings,memory_as_of,robotics_coverage,robotics_exposure,robotics_holdings,robotics_as_of,status
1,歐洲,富邦富時歐洲ETF基金,待核實,台幣,否,ACFP93,,VGK,31.52,不適用,31.52,,,6.89,0.810,-9.54,55,,待資料,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260812）
2,歐洲,摩根大歐洲基金-數位型,待核實,台幣,否,ACJF153,,VGK,28.37,不適用,28.37,,,6.43,0.830,-9.40,55,,待資料,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260812）
3,歐洲,元大歐洲50基金,待核實,台幣,否,ACYT89,,VGK,24.79,不適用,24.79,,,9.52,0.720,-11.01,43,,待資料,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260812）
4,歐洲,聯博歐洲多重資產基金A2不配息(台幣)(本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),待核實,台幣,是,,,VGK,18.51,待核實,18.51,,,3.11,0.580,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
5,歐洲,瀚亞歐洲基金,待核實,台幣,否,ACCP13,,VGK,15.76,不適用,15.76,,,3.24,0.390,-12.49,64,,待資料,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260812）
