rank,category_name,name,isin,currency,distribution,moneydj_id,twelve_data_symbol,benchmark,return_1y,distribution_yield_12m,total_return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,quantum_coverage,quantum_exposure,quantum_holdings,holdings_as_of,optical_coverage,optical_exposure,optical_holdings,optical_as_of,memory_coverage,memory_exposure,memory_holdings,memory_as_of,robotics_coverage,robotics_exposure,robotics_holdings,robotics_as_of,status
1,印度,台新印度基金,待核實,台幣,否,ACTT13,,INDA,25.84,不適用,25.84,,,16.67,0.460,-13.19,13,,待資料,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260812）
2,印度,瀚亞印度基金S配息(台幣)(本基金配息來源可能為本金),待核實,台幣,是,,,INDA,18.57,待核實,18.57,,,11.59,0.390,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
3,印度,群益大印度基金N類型(台幣),待核實,台幣,否,ACCA162,,INDA,11.88,不適用,11.88,,,2.76,0.320,-16.81,51,,待資料,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260812）
4,印度,群益印度中小基金N類型(台幣),待核實,台幣,否,ACCA118,,INDA,7.29,不適用,7.29,,,0.44,0.180,-16.10,,,待資料,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260812）
5,印度,野村印度潛力基金,待核實,台幣,否,ACIC32,,INDA,3.36,不適用,3.36,,,-2.62,0.070,-18.02,,,待資料,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260812）
6,印度,元大印度基金,待核實,台幣,否,ACYT41,,INDA,0.00,不適用,0.00,,,-7.91,-0.010,-17.36,,,待資料,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260812）
7,印度,瀚亞印度策略收益平衡基金S配息(台幣)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),待核實,台幣,是,,,INDA,-2.11,待核實,-2.11,,,-3.34,-0.120,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
