rank,category_name,name,isin,currency,distribution,moneydj_id,twelve_data_symbol,benchmark,return_1y,distribution_yield_12m,total_return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,quantum_coverage,quantum_exposure,quantum_holdings,holdings_as_of,optical_coverage,optical_exposure,optical_holdings,optical_as_of,memory_coverage,memory_exposure,memory_holdings,memory_as_of,robotics_coverage,robotics_exposure,robotics_holdings,robotics_as_of,status
1,全市場精選 Top 5,👑 ✨ 元大多多基金 ✨,待核實,台幣,否,,,EWT,209.69,不適用,209.69,-33.20,242.89,73.97,2.140,,,5.693,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,全市場精選 Top 5,施羅德台灣樂活中小基金-TISA類型,待核實,台幣,否,ACES125,,EWT,216.67,不適用,216.67,-33.20,249.87,90.32,0.910,-24.11,9,5.630,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已更新（MoneyDJ歷史淨值至 20260813）
3,全市場精選 Top 5,統一中小基金,待核實,台幣,否,ACPS06,,EWT,201.12,不適用,201.12,-33.20,234.32,88.06,2.000,-27.97,,5.495,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已更新（MoneyDJ歷史淨值至 20260813）
4,全市場精選 Top 5,安聯台灣科技基金,待核實,台幣,否,ACDD04,,EWT,200.68,不適用,200.68,-33.20,233.88,63.33,2.030,-32.10,,5.224,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已更新（MoneyDJ歷史淨值至 20260813）
5,全市場精選 Top 5,元大高科技基金,待核實,台幣,否,,,EWT,195.69,不適用,195.69,-33.20,228.89,70.91,0.940,,,5.143,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
